AAK.ST,Consumer Goods
ABB.ST,Industrials
ABLI.ST,Health Care
ACAD.ST,Consumer Services
ACRI-A.ST,Real Estate
ACRI-B.ST,Real Estate
ATIC.ST,Consumer Services
ACTI.ST,Health Care
ALIF-B.ST,Health Care
ANOD-B.ST,Technology
ADDT-B.ST,Industrials
AOI.ST,Energy
AFRY.ST,Industrials
ALFA.ST,Industrials
ALIG.ST,Industrials
ALLEI.ST,Basic Materials
ATORX.ST,Health Care
ALLIGO-B.ST,Industrials
AMBEA.ST,Health Care
ANNE-B.ST,Real Estate
ANOT.ST,Technology
AQ.ST,Industrials
ARP.ST,Basic Materials
ARION-SDB.ST,Financials
ARISE.ST,Utilities
ARJO-B.ST,Health Care
ARPL.ST,Industrials
ACE.ST,Health Care
ASSA-B.ST,Industrials
AZN.ST,Health Care
ATCO-A.ST,Industrials
ATCO-B.ST,Industrials
ATRLJ-B.ST,Real Estate
ATT.ST,Health Care
ALIV-SDB.ST,Consumer Services
AZA.ST,Financials
AXFO.ST,Consumer Goods
B3.ST,Technology
BACTI-B.ST,Health Care
BALCO.ST,Industrials
BEGR.ST,Basic Materials
BEIA-B.ST,Basic Materials
BEIJ-B.ST,Industrials
BERG-B.ST,Industrials
BRG-B.ST,Basic Materials
BESQ.ST,Consumer Services
BETS-B.ST,Consumer Services
BETCO.ST,Technology
BHG.ST,Consumer Services
BICO.ST,Health Care
BILI-A.ST,Consumer Services
BILL.ST,Basic Materials
BIOA-B.ST,Health Care
BIOG-B.ST,Health Care
BINV.ST,Health Care
BIOT.ST,Health Care
BORG.ST,Consumer Services
BOL.ST,Basic Materials
BONAV-A.ST,Consumer Services
BONAV-B.ST,Consumer Services
BONEX.ST,Health Care
BONG.ST,Industrials
BOOZT.ST,Consumer Services
BOUL.ST,Health Care
BRAV.ST,Industrials
BRIN-B.ST,Real Estate
BTS-B.ST,Industrials
BUFAB.ST,Industrials
BULTEN.ST,Consumer Services
BURE.ST,Financials
BFG.ST,Technology
BMAX.ST,Consumer Services
CALTX.ST,Health Care
CAMX.ST,Health Care
CANTA.ST,Health Care
CAST.ST,Real Estate
CAT-A.ST,Financials
CAT-B.ST,Financials
CATE.ST,Real Estate
CTM.ST,Consumer Services
CCC.ST,Industrials
CEVI.ST,Health Care
CBTT-B.ST,Industrials
CIBUS.ST,Real Estate
CINT.ST,Technology
CLAS-B.ST,Consumer Services
CLA-B.ST,Consumer Goods
CS.ST,Financials
COLL.ST,Financials
CNCJO-B.ST,Industrials
COIC.ST,Industrials
CCOR-B.ST,Industrials
COOR.ST,Industrials
CORE-A.ST,Real Estate
CORE-B.ST,Real Estate
CORE-D.ST,Real Estate
CORE-PREF.ST,Real Estate
CRAD-B.ST,Health Care
CRED-A.ST,Financials
CTEK.ST,Energy
CTT.ST,Industrials
DEDI.ST,Health Care
DIOS.ST,Real Estate
DOM.ST,Consumer Services
DORO.ST,Telecommunications
DUNI.ST,Consumer Goods
DURC-B.ST,Basic Materials
DUST.ST,Consumer Services
EAST.ST,Real Estate
EGTX.ST,Health Care
ELAN-B.ST,Industrials
ELUX-A.ST,Consumer Services
ELUX-B.ST,Consumer Services
EPRO-B.ST,Industrials
EKTA-B.ST,Health Care
ELON.ST,Consumer Services
ELOS-B.ST,Health Care
ELTEL.ST,Industrials
EMBRAC-B.ST,Consumer Services
EMPIR-B.ST,Technology
ENEA.ST,Technology
ENGCON-B.ST,Industrials
ENRO.ST,Consumer Services
ENQ.ST,Energy
EOLU-B.ST,Energy
EPEN.ST,Industrials
EPI-A.ST,Industrials
EPI-B.ST,Industrials
EPIS-B.ST,Health Care
EQT.ST,Financials
ERIC-A.ST,Telecommunications
ERIC-B.ST,Telecommunications
ESSITY-A.ST,Consumer Goods
ESSITY-B.ST,Consumer Goods
EVO.ST,Consumer Services
EWRK.ST,Industrials
FABG.ST,Real Estate
FAG.ST,Industrials
FG.ST,Industrials
BALD-B.ST,Real Estate
FASTAT.ST,Real Estate
EMIL-PREF.ST,Real Estate
EMIL-B.ST,Real Estate
FPAR-A.ST,Real Estate
FPAR-D.ST,Real Estate
FOI-B.ST,Consumer Services
FNM.ST,Industrials
FING-B.ST,Technology
FMM-B.ST,Industrials
FPIP.ST,Technology
FNOX.ST,Technology
G5EN.ST,Consumer Services
GIGSEK.ST,Consumer Services
GARO.ST,Technology
GPG.ST,Real Estate
GETI-B.ST,Health Care
GRNG.ST,Consumer Services
GREEN.ST,Industrials
HNSA.ST,Health Care
HANZA.ST,Industrials
HAV-B.ST,Financials
HEBA-B.ST,Real Estate
HEM.ST,Real Estate
HM-B.ST,Consumer Services
HEXA-B.ST,Technology
HTRO.ST,Telecommunications
HPOL-B.ST,Basic Materials
HMS.ST,Telecommunications
HOFI.ST,Financials
HOLM-A.ST,Basic Materials
HOLM-B.ST,Basic Materials
HUFV-A.ST,Real Estate
HUM.ST,Health Care
HUSQ-A.ST,Consumer Services
HUSQ-B.ST,Consumer Services
IAR-B.ST,Technology
IS.ST,Industrials
IMMNOV.ST,Health Care
INDU-A.ST,Financials
INDU-C.ST,Financials
INDT.ST,Industrials
IBT-B.ST,Health Care
INFREA.ST,Industrials
INSTAL.ST,Industrials
IPCO.ST,Energy
INTRUM.ST,Financials
INVE-A.ST,Financials
INVE-B.ST,Financials
IVSO.ST,Industrials
INWI.ST,Industrials
IRLAB-A.ST,Health Care
IRRAS.ST,Health Care
ISOFOL.ST,Health Care
ITAB.ST,Industrials
JM.ST,Real Estate
JOMA.ST,Real Estate
K2A-B.ST,Real Estate
K2A-PREF.ST,Real Estate
KABE-B.ST,Consumer Services
KAR.ST,Consumer Services
KDEV.ST,Health Care
KFAST-B.ST,Real Estate
KIND-SDB.ST,Consumer Services
KINV-A.ST,Financials
KINV-B.ST,Financials
KLARA-B.ST,Real Estate
KNOW.ST,Technology
LAGR-B.ST,Technology
LAMM-B.ST,Consumer Services
LATO-B.ST,Financials
LIFCO-B.ST,Industrials
LIME.ST,Technology
LINC.ST,Financials
LIAB.ST,Industrials
LOGI-A.ST,Real Estate
LOGI-B.ST,Real Estate
LOOMIS.ST,Industrials
LUC.ST,Basic Materials
LUND-B.ST,Financials
LUG.ST,Basic Materials
LUMI.ST,Basic Materials
MAHA-A.ST,Energy
MEAB-B.ST,Industrials
MANG.ST,Financials
MCAP.ST,Health Care
MCOV-B.ST,Health Care
MVIR.ST,Health Care
MEKO.ST,Consumer Services
IMMU.ST,Health Care
MSAB-B.ST,Technology
MSON-A.ST,Consumer Goods
MSON-B.ST,Consumer Goods
MIDW-A.ST,Industrials
MIDW-B.ST,Industrials
MILDEF.ST,Industrials
TIGO-SDB.ST,Telecommunications
MIPS.ST,Consumer Services
MOB.ST,Health Care
MTG-A.ST,Consumer Services
MTG-B.ST,Consumer Services
MOMENT.ST,Consumer Services
MMGR-B.ST,Industrials
MTRS.ST,Industrials
MYCR.ST,Technology
NICA.ST,Health Care
NAXS.ST,Financials
NCAB.ST,Technology
NCC-A.ST,Industrials
NCC-B.ST,Industrials
NMAN.ST,Industrials
NELLY.ST,Consumer Services
NETI-B.ST,Telecommunications
NETEL.ST,Industrials
NEWA-B.ST,Consumer Services
NGS.ST,Industrials
NIBE-B.ST,Industrials
NIL-B.ST,Consumer Services
NIVI-B.ST,Real Estate
NOBI.ST,Consumer Services
NOLA-B.ST,Industrials
NDA-SE.ST,Financials
NPAPER.ST,Basic Materials
NWG.ST,Industrials
NORB-B.ST,Basic Materials
SAVE.ST,Financials
NORVA.ST,Industrials
NOTE.ST,Industrials
NTEK-B.ST,Technology
NP3.ST,Real Estate
NP3-PREF.ST,Real Estate
NYF.ST,Real Estate
OEM-B.ST,Industrials
ONCO.ST,Health Care
ORES.ST,Financials
ORX.ST,Health Care
ORRON.ST,Energy
ORTI-A.ST,Health Care
ORTI-B.ST,Health Care
OP.ST,Real Estate
OP-PREF.ST,Real Estate
OP-PREFB.ST,Real Estate
OVZON.ST,Telecommunications
OX2.ST,Energy
PNDX-B.ST,Real Estate
PEAB-B.ST,Industrials
PIERCE.ST,Consumer Services
PION-B.ST,Industrials
PLAZ-B.ST,Real Estate
PREC.ST,Technology
PREV-B.ST,Technology
PRIC-B.ST,Technology
PACT.ST,Technology
PROB.ST,Health Care
PROF-B.ST,Basic Materials
PRFO.ST,Industrials
PENG-B.ST,Industrials
QLINEA.ST,Health Care
QLIRO.ST,Financials
RAIL.ST,Industrials
RATO-A.ST,Financials
RATO-B.ST,Financials
RAY-B.ST,Health Care
READ.ST,Technology
REJL-B.ST,Industrials
RESURS.ST,Financials
RIZZO-B.ST,Consumer Services
RROS.ST,Basic Materials
RVRC.ST,Consumer Services
SAAB-B.ST,Industrials
SAGA-A.ST,Real Estate
SAGA-B.ST,Real Estate
SAGA-D.ST,Real Estate
SBB-B.ST,Real Estate
SBB-D.ST,Real Estate
SAMPO-SDB.ST,Financials
SAND.ST,Industrials
SANION.ST,Health Care
SAS.ST,Consumer Services
SCA-A.ST,Basic Materials
SCA-B.ST,Basic Materials
SCST.ST,Consumer Goods
SHOT.ST,Consumer Services
SDIP-B.ST,Industrials
SDIP-PREF.ST,Industrials
SEAF.ST,Financials
SEB-A.ST,Financials
SEB-C.ST,Financials
SECT-B.ST,Health Care
SECU-B.ST,Industrials
SEDANA.ST,Health Care
SGG.ST,Technology
SEZI.ST,Health Care
SINCH.ST,Technology
SINT.ST,Industrials
SIVE.ST,Technology
SKA-B.ST,Industrials
SKF-A.ST,Basic Materials
SKF-B.ST,Basic Materials
SKIS-B.ST,Consumer Services
SLEEP.ST,Technology
SOF-B.ST,Technology
SFAB.ST,Financials
SSAB-A.ST,Basic Materials
SSAB-B.ST,Basic Materials
STAR-A.ST,Consumer Services
STAR-B.ST,Consumer Services
STEF-B.ST,Real Estate
SF.ST,Consumer Services
STWK.ST,Financials
STE-A.ST,Basic Materials
STE-R.ST,Basic Materials
STOR-B.ST,Financials
STRAX.ST,Consumer Services
SVIK.ST,Industrials
SHB-A.ST,Financials
SHB-B.ST,Financials
SVED-B.ST,Industrials
SVOL-A.ST,Financials
SVOL-B.ST,Financials
SWEC-A.ST,Industrials
SWEC-B.ST,Industrials
SWED-A.ST,Financials
SLP-B.ST,Real Estate
SOBI.ST,Health Care
SYNACT.ST,Health Care
SYNSAM.ST,Consumer Services
SYSR.ST,Industrials
TEL2-A.ST,Telecommunications
TEL2-B.ST,Telecommunications
TELIA.ST,Telecommunications
TETY.ST,Energy
TFBANK.ST,Financials
THULE.ST,Consumer Services
TIETOS.ST,Technology
TOBII.ST,Technology
TDVOX.ST,Technology
TRAC-B.ST,Financials
TRAD.ST,Technology
TRANS.ST,Industrials
8TRA.ST,Industrials
TREL-B.ST,Industrials
TRIAN-B.ST,Real Estate
TROAX.ST,Basic Materials
TRUE-B.ST,Technology
VBG-B.ST,Consumer Services
VEFAB.ST,Financials
VESTUM.ST,Consumer Services
VPLAY-A.ST,Telecommunications
VPLAY-B.ST,Telecommunications
VICO.ST,Health Care
VIT-B.ST,Technology
VITR.ST,Health Care
VIVE.ST,Health Care
VNV.ST,Financials
VOLO.ST,Industrials
VOLO-PREF.ST,Industrials
VOLV-A.ST,Industrials
VOLV-B.ST,Industrials
VOLCAR-B.ST,Consumer Services
WALL-B.ST,Real Estate
WBGR-B.ST,Industrials
WIHL.ST,Real Estate
WISE.ST,Industrials
XANO-B.ST,Industrials
XBRANE.ST,Health Care
XSPRAY.ST,Health Care
XVIVO.ST,Health Care
